TRANSACTION DATE, TRANSACTION TIME, TRANSACTION ID, USER ID, IP ADDRESS, STATE OF ORGIN, AMOUNT, CURRENCY, NUMBER OF TOKENS PURCHASED
2018/10/24, 15:20:12, PAY-53H78999P2688763NLP4WYLA, 176, 197.210.29.238, Canada, 3.27, USD, 10
2018/10/24, 15:21:7, PAY-3AD67064CP034560FLP4WYYY, 176, 197.210.29.238, Canada, 6.32, USD, 20
2018/10/24, 15:35:57, PAY-23G18375L88432437LP4W7XI, 176, 197.210.29.238, Canada, 144.23, USD, 500
2018/10/24, 15:37:19, PAY-2044649492561624DLP4XALY, 176, 197.210.29.238, Canada, 3.27, USD, 10
2018/10/24, 15:40:33, PAY-90M62431VS109981FLP4XB4I, 176, 197.210.29.238, Canada, 3.27, USD, 10
2018/10/24, 15:44:8, PAY-2F651811T7011852ULP4XDSA, 176, 197.210.29.238, Canada, 6.32, USD, 20
2018/10/24, 15:47:43, PAY-4WX08557FW555311BLP4XFHY, 176, 197.210.29.238, Canada, 15.11, USD, 50
2018/10/24, 15:51:2, PAY-2JX81502PC168652PLP4XGZQ, 176, 197.210.29.238, Canada, 0.34, USD, 1
2018/10/24, 17:27:28, PAY-94P04637BA0071610LP4YUAA, 176, 197.210.44.130, Canada, 3.27, USD, 10
2018/10/24, 17:29:25, PAY-03V07550CF807125TLP4YU5I, 176, 197.210.44.130, Canada, 3.27, USD, 10
