TRANSACTION DATE, TRANSACTION TIME, TRANSACTION ID, USER ID, IP ADDRESS, STATE OF ORGIN, AMOUNT, CURRENCY, NUMBER OF TOKENS PURCHASED
2018-10-6, 11:35:40, PAY-42W86853B2162644RLPQXZDA, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:37:59, PAY-1TR175117L704602ULPQX2FY, 174, 175.176.184.183, India, 3.29, USD, 10
2018-10-6, 11:39:2, PAY-179820859E619723BLPQX2VQ, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:41:1, PAY-25273864VT466632CLPQX3TI, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:42:11, PAY-5DS264748Y6478610LPQX4EY, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:43:21, PAY-87835170E4139662ULPQX4WI, 174, 175.176.184.183, India, 3.29, USD, 10
2018-10-6, 11:44:33, PAY-58J50599BT3548421LPQX5II, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:45:36, PAY-87W5227609756592ALPQX5YA, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:46:46, PAY-88C269488L203232HLPQX6JQ, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 11:47:44, PAY-4V498902AU3678800LPQX6YA, 174, 175.176.184.183, India, 3.29, USD, 10
2018-10-6, 11:49:4, PAY-5K925575MS5345538LPQX7MA, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 12:34:38, PAY-70F09704AM099111ULPQYUXQ, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 12:36:11, PAY-4JF4307537755330CLPQYVOY, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 12:36:56, PAY-832440658W092125LLPQYV2A, 174, 175.176.184.183, India, 3.29, USD, 10
2018-10-6, 12:37:48, PAY-5CN09738HS0819025LPQYWHA, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 12:41:27, PAY-95F28598SU038423VLPQYX5Y, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 12:44:58, PAY-10630229UL815313BLPQYZSQ, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 12:45:58, PAY-84V064758F3878203LPQY2BQ, 174, 175.176.184.183, India, 1.66, USD, 5
2018-10-6, 18:19:25, RAVE-1541528317884, 152, 41.190.31.47, Nigeria, 125, NGN, 1
